name,symbol,slug,first_historical_data,last_historical_data,history_has_been_saved
TransferCoin,TX,transfercoin,2015-08-21T02:09:30.000Z,2020-12-02T13:24:02.000Z,0
GuccioneCoin,GCC,guccionecoin,2015-08-21T02:09:30.000Z,2020-12-02T13:24:02.000Z,0
AmsterdamCoin,AMS,amsterdamcoin,2015-08-21T02:09:30.000Z,2020-12-02T13:24:02.000Z,0
Agoras Tokens,AGRS,agoras-tokens,2015-08-24T02:49:28.000Z,2020-12-02T13:24:02.000Z,0
Eurocoin,EUC,eurocoin,2015-08-24T02:49:28.000Z,2020-12-02T13:24:02.000Z,0
Siacoin,SC,siacoin,2015-08-26T18:19:28.000Z,2020-12-02T13:24:02.000Z,0
Global Currency Reserve,GCR,global-currency-reserve,2015-08-26T18:19:28.000Z,2020-12-02T13:24:02.000Z,0
Shift,SHIFT,shift,2015-09-05T13:49:28.000Z,2020-12-02T13:24:02.000Z,0
VectorAI,VEC2,vector,2015-09-04T16:39:29.000Z,2020-12-02T13:24:02.000Z,0
Bolivarcoin,BOLI,bolivarcoin,2015-09-08T21:29:25.000Z,2020-12-02T13:24:02.000Z,0
BitCrystals,BCY,bitcrystals,2015-09-14T17:29:26.000Z,2020-12-02T13:24:02.000Z,0
Pakcoin,PAK,pakcoin,2015-09-15T20:04:27.000Z,2020-12-02T13:24:02.000Z,0
Expanse,EXP,expanse,2015-09-15T20:04:27.000Z,2020-12-02T13:24:02.000Z,0
SIBCoin,SIB,sibcoin,2015-09-25T22:19:29.000Z,2020-12-02T13:24:02.000Z,0
Swing,SWING,swing,2015-09-28T15:44:31.000Z,2020-12-02T13:24:02.000Z,0
Factom,FCT,factom,2015-10-06T01:34:29.000Z,2020-12-02T13:24:03.000Z,0
ParallelCoin,DUO,parallelcoin,2015-10-24T16:24:28.000Z,2020-12-02T13:24:02.000Z,0
Save and Gain,SANDG,save-and-gain,2015-10-12T16:30:37.000Z,2020-12-02T13:24:03.000Z,0
Augur,REP,augur,2015-10-27T17:14:30.000Z,2020-12-02T13:24:03.000Z,0
StrongHands,SHND,stronghands,2015-10-30T18:09:28.000Z,2020-12-02T13:24:03.000Z,0
PAC Global,PAC,pac-global,2015-11-02T21:59:27.000Z,2020-12-02T13:24:03.000Z,0
DraftCoin,DFT,draftcoin,2015-11-23T19:59:28.000Z,2020-12-02T13:24:03.000Z,0
OBITS,OBITS,obits,2015-11-30T05:44:28.000Z,2020-12-02T13:24:03.000Z,0
ClubCoin,CLUB,clubcoin,2015-12-21T17:49:32.000Z,2020-12-02T13:24:03.000Z,0
Adzcoin,ADZ,adzcoin,2015-12-26T00:39:30.000Z,2020-12-02T13:24:03.000Z,0
Moin,MOIN,moin,2016-01-04T20:49:32.000Z,2020-12-02T13:24:03.000Z,0
AvatarCoin,AV,avatarcoin,2016-01-05T18:30:15.000Z,2020-12-02T13:24:03.000Z,0
EverGreenCoin,EGC,evergreencoin,2016-01-10T19:50:31.000Z,2020-12-02T13:24:03.000Z,0
Radium,RADS,radium,2016-01-18T07:54:28.000Z,2020-12-02T13:24:03.000Z,0
Litecred,LTCR,litecred,2016-01-21T15:59:29.000Z,2020-12-02T13:24:03.000Z,0
Yocoin,YOC,yocoin,2016-01-21T17:00:21.000Z,2020-12-02T13:24:03.000Z,0
SaluS,SLS,salus,2016-01-22T17:39:30.000Z,2020-12-02T13:24:03.000Z,0
Francs,FRN,francs,2016-01-31T08:44:26.000Z,2020-12-02T13:24:03.000Z,0
Evil Coin,EVIL,evil-coin,2016-01-31T08:44:27.000Z,2020-12-02T13:24:03.000Z,0
Decred,DCR,decred,2016-02-10T19:59:29.000Z,2020-12-02T13:24:03.000Z,0
PIVX,PIVX,pivx,2016-02-13T21:14:26.000Z,2020-12-02T13:24:03.000Z,0
Safex Token,SFT,safex-token,2016-02-16T19:25:13.000Z,2020-12-02T13:24:03.000Z,0
Rubies,RBIES,rubies,2016-02-22T19:14:29.000Z,2020-12-02T13:24:03.000Z,0
TrumpCoin,TRUMP,trumpcoin,2016-03-01T05:59:29.000Z,2020-12-02T13:24:03.000Z,0
Memetic / PepeCoin,MEME,memetic,2016-03-14T07:34:26.000Z,2020-12-02T13:24:03.000Z,0
Independent Money System,IMS,independent-money-system,2016-03-18T23:09:28.000Z,2020-12-02T13:24:03.000Z,0
NevaCoin,NEVA,nevacoin,2016-03-22T20:01:24.000Z,2020-12-02T13:24:03.000Z,0
PosEx,PEX,posex,2016-04-04T22:20:17.000Z,2020-12-02T13:24:03.000Z,0
Cabbage,CAB,cabbage,2016-04-04T22:20:16.000Z,2020-12-02T13:24:03.000Z,0
MojoCoin,MOJO,mojocoin,2016-04-06T19:34:29.000Z,2020-12-02T13:24:03.000Z,0
Lisk,LSK,lisk,2016-04-06T20:19:57.000Z,2020-12-02T13:24:03.000Z,0
EDRCoin,EDRC,edrcoin,2016-04-08T17:24:28.000Z,2020-12-02T13:24:03.000Z,0
PostCoin,POST,postcoin,2016-04-08T17:24:28.000Z,2020-12-02T13:24:03.000Z,0
BERNcash,BERN,berncash,2016-04-11T07:04:29.000Z,2020-12-02T13:24:03.000Z,0
DigixDAO,DGD,digixdao,2016-04-18T16:19:31.000Z,2020-12-02T13:24:03.000Z,0
Steem,STEEM,steem,2016-04-18T16:19:31.000Z,2020-12-02T13:24:03.000Z,0
Espers,ESP,espers,2016-04-28T21:59:30.000Z,2020-12-02T13:24:04.000Z,0
FuzzBalls,FUZZ,fuzzballs,2016-05-01T00:05:18.000Z,2020-12-02T13:24:03.000Z,0
HiCoin,XHI,hicoin,2016-05-04T00:04:46.000Z,2020-12-02T13:24:03.000Z,0
AquariusCoin,ARCO,aquariuscoin,2016-05-04T00:04:47.000Z,2020-12-02T13:24:03.000Z,0
Bitcoin 21,XBTC21,bitcoin-21,2016-05-05T17:59:31.000Z,2020-12-02T13:24:04.000Z,0
Elcoin,EL,elcoin-el,2016-05-05T18:04:32.000Z,2020-12-02T13:24:03.000Z,0
Zurcoin,ZUR,zurcoin,2016-05-09T23:04:31.000Z,2020-12-02T13:24:03.000Z,0
2GIVE,2GIVE,2give,2016-05-16T18:14:29.000Z,2020-12-02T13:24:03.000Z,0
PlatinumBAR,XPTX,platinumbar,2016-05-17T16:49:29.000Z,2020-12-02T13:24:04.000Z,0
LanaCoin,LANA,lanacoin,2016-05-18T22:34:30.000Z,2020-12-02T13:24:03.000Z,0
PonziCoin,PONZI,ponzicoin,2016-05-18T22:34:30.000Z,2020-12-02T13:24:03.000Z,0
MarteXcoin,MXT,martexcoin,2016-05-31T21:09:56.000Z,2020-12-02T13:24:03.000Z,0
Citadel,CTL,citadel,2016-06-02T14:49:29.000Z,2020-12-02T13:24:04.000Z,0
Waves,WAVES,waves,2016-06-02T21:14:30.000Z,2020-12-02T13:24:03.000Z,0
PWR Coin,PWR,powercoin,2016-06-04T13:14:29.000Z,2020-12-02T13:24:04.000Z,0
ION,ION,ion,2016-06-08T22:14:29.000Z,2020-12-02T13:24:03.000Z,0
High Voltage,HVCO,high-voltage,2016-06-08T22:14:29.000Z,2020-12-02T13:24:04.000Z,0
GoldBlocks,GB,goldblocks,2016-06-14T17:19:31.000Z,2020-12-02T13:24:03.000Z,0
Comet,CMT,comet,2016-06-26T19:39:29.000Z,2020-12-02T13:24:03.000Z,0
Rise,RISE,rise,2016-06-30T04:54:30.000Z,2020-12-02T13:24:04.000Z,0
ChessCoin,CHESS,chesscoin,2016-07-02T03:40:41.000Z,2020-12-02T13:24:04.000Z,0
LBRY Credits,LBC,library-credit,2016-07-07T05:24:28.000Z,2020-12-02T13:24:04.000Z,0
PutinCoin,PUT,putincoin,2016-07-07T05:24:28.000Z,2020-12-02T13:24:04.000Z,0
Cryptojacks,CJ,cryptojacks,2016-07-11T19:14:32.000Z,2020-12-02T13:24:04.000Z,0
HEAT,HEAT,heat-ledger,2016-07-12T17:44:31.000Z,2020-12-02T13:24:04.000Z,0
Steem Dollars,SBD,steem-dollars,2016-07-18T20:54:29.000Z,2020-12-02T13:24:04.000Z,0
Ardor,ARDR,ardor,2016-07-23T14:40:05.000Z,2020-12-02T13:24:04.000Z,0
Ethereum Classic,ETC,ethereum-classic,2016-07-24T13:44:30.000Z,2020-12-02T13:24:04.000Z,0
First Bitcoin,BIT,first-bitcoin,2016-07-25T21:05:21.000Z,2020-12-02T13:24:04.000Z,0
Karbo,KRB,karbo,2016-08-12T01:45:57.000Z,2020-12-02T13:24:04.000Z,0
Stratis,STRAX,stratis,2016-08-12T01:45:56.000Z,2020-12-02T13:24:04.000Z,0
Aces,ACES,aces,2016-08-19T17:29:31.000Z,2020-12-02T13:24:04.000Z,0
TajCoin,TAJ,tajcoin,2016-08-19T17:29:31.000Z,2020-12-02T13:24:04.000Z,0
EDC Blockchain v1 [old],EDC,edc-blockchain-v1,2016-08-26T15:44:34.000Z,2020-12-02T13:24:04.000Z,0
Veltor,VLT,veltor,2016-09-03T22:19:32.000Z,2020-12-02T13:24:04.000Z,0
Neo,NEO,neo,2016-09-09T03:09:33.000Z,2020-12-02T13:24:04.000Z,0
Bitcloud,BTDX,bitcloud,2016-09-12T18:19:35.000Z,2020-12-02T13:24:04.000Z,0
NoLimitCoin,NLC2,nolimitcoin,2016-09-12T18:19:35.000Z,2020-12-02T13:24:04.000Z,0
VeriumReserve,VRM,veriumreserve,2016-09-17T22:55:32.000Z,2020-12-02T13:24:04.000Z,0
Zayedcoin,ZYD,zayedcoin,2016-09-17T22:55:32.000Z,2020-12-02T13:24:04.000Z,0
Pluton,PLU,pluton,2016-09-17T22:59:34.000Z,2020-12-02T13:24:05.000Z,0
